Nt,Np,L,R,v,nb_runs,mean_polarization_factor
10000,50,100.0,1.5,12.069860708911552,200,0.21610304101009178
10000,50,100.0,1.5,3.9585519906919875,200,0.21297651974061693
10000,50,100.0,1.5,12.489265680805802,200,0.21359269368561062
10000,50,100.0,1.5,6.610446445585918,200,0.21613783304342124
10000,50,100.0,1.5,7.132225260572425,200,0.2131114992544336
10000,50,100.0,1.5,3.594168476761225,200,0.21473119454861575
10000,50,100.0,1.5,10.668069764868267,200,0.21659760575787712
10000,50,100.0,1.5,9.77509362876967,200,0.21536503638130722
10000,50,100.0,1.5,9.685068983927078,200,0.21461125914823329
10000,50,100.0,1.5,7.265723016904916,200,0.21266838758924386
10000,50,100.0,1.5,10.045776959690777,200,0.21133402744604063
10000,50,100.0,1.5,2.003903911411957,200,0.21438608829056455
10000,50,100.0,1.5,12.673421508943894,200,0.21332574651982775
10000,50,100.0,1.5,14.741193368374848,200,0.21068635462754007
10000,50,100.0,1.5,6.757141663651495,200,0.21351928202395545
10000,50,100.0,1.5,12.869215570191475,200,0.21452596152481923
10000,50,100.0,1.5,1.4691250868060697,200,0.21265877415868972
10000,50,100.0,1.5,11.388534696068646,200,0.21514265439829763
10000,50,100.0,1.5,8.628832878938987,200,0.2141141362993062
10000,50,100.0,1.5,7.649011936030791,200,0.2132860366294871
10000,50,100.0,1.5,4.11528363871757,200,0.21504246167092034
10000,50,100.0,1.5,5.3461167523147735,200,0.21465319035103775
10000,50,100.0,1.5,7.160486697204627,200,0.21446580190350187
10000,50,100.0,1.5,3.3217871523551166,200,0.21286568344272255
10000,50,100.0,1.5,4.520025398663594,200,0.2136581770244599
10000,50,100.0,1.5,2.8871406775075474,200,0.2149868914678416
10000,50,100.0,1.5,2.5612622485572034,200,0.21430944758796996
10000,50,100.0,1.5,13.177377649276725,200,0.2120143712314634
10000,50,100.0,1.5,11.864678660166474,200,0.21161473007818898
10000,50,100.0,1.5,2.973550863323834,200,0.21562432427893685
10000,50,100.0,1.5,13.885681278624624,200,0.21326126519645577
10000,50,100.0,1.5,12.607414278813003,200,0.20934559700593147
10000,50,100.0,1.5,13.112571923352608,200,0.21276859773822246
10000,50,100.0,1.5,11.406529535334048,200,0.21350622909291045
10000,50,100.0,1.5,1.3147115984348485,200,0.20963931315921458
10000,50,100.0,1.5,1.7214842574932168,200,0.2152731775730273
10000,50,100.0,1.5,5.755398253595094,200,0.21308869320073995
10000,50,100.0,1.5,10.071947621798824,200,0.21493719268549744
10000,50,100.0,1.5,5.847163454014202,200,0.21070354293659366
